Склад,Количество Начальный остаток,Стоимость Начальный остаток,Количество приход,Стоимость приход,Количество расход,Стоимость расход,Себест,Цена продажи,Сумма продажи,Количество Конечный остаток,Стоимость Конечный остаток,Profit,profitPR,date
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",2988.0,176303.95,16241.0,958257.31,13716.0,808657.83,57.7,69.47,955541.7,5504.0,324748.3,146883.87,18.16,2021-08-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",1.0,61.27,4820.0,286856.98,4806.0,285208.89,58.0,74.93,361640.97,1.0,62.45,76432.08,26.8,2021-09-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",389.0,23055.23,3218.0,193405.54,3378.0,200991.3,58.35,76.9,257965.1,215.0,13539.62,56973.8,28.35,2021-09-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",3.0,352.77,2915.0,351465.9,2905.0,349075.43,117.92,139.85,412008.21,3.0,361.75,62932.78,18.03,2021-09-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",645.0,72489.65,1190.0,131826.04,1496.0,167921.99,110.05,127.99,195080.16,333.0,35521.04,27158.17,16.17,2021-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",444.0,79203.84,507.0,89775.53,590.0,104717.95,168.69,217.06,127905.05,360.0,63552.66,23187.1,22.14,2021-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1.0,62.01,4716.0,292215.03,3555.0,219533.38,60.1,79.3,276420.64,1154.0,71504.56,56887.26,25.91,2021-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",3.0,186.98,1814.0,124157.1,1418.0,96252.11,65.29,90.97,133206.86,396.0,27529.92,36954.75,38.39,2021-09-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1556.0,95301.87,5101.0,316227.99,5268.0,322359.26,60.1,77.0,407573.94,1385.0,88634.03,85214.68,26.43,2021-09-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",2.0,146.35,854.0,66162.72,650.0,49986.2,70.71,104.47,72662.35,202.0,15777.83,22676.15,45.36,2021-09-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",892.0,55881.83,5868.0,367726.95,5159.0,321845.39,61.84,78.81,404520.01,1600.0,100267.31,82674.62,25.69,2021-09-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",828.0,59268.24,5404.0,397984.58,3318.0,237239.86,70.05,87.75,288201.94,2906.0,219201.48,50962.08,21.48,2021-09-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",3190.0,188222.76,18434.0,1087642.25,15945.0,940309.3,58.29,70.95,1111225.21,5676.0,334906.7,170915.91,18.18,2021-09-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",1947.0,122612.33,6747.0,424837.78,7696.0,482922.05,61.03,78.22,612038.49,970.0,61064.41,129116.44,26.74,2021-10-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",1322.0,83252.95,6016.0,377530.99,5144.0,320649.02,60.28,78.18,410856.78,2167.0,136419.3,90207.76,28.13,2021-10-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",1584.0,183840.62,2934.0,340641.15,3028.0,348782.45,111.93,134.18,415298.95,1468.0,170393.7,66516.5,19.07,2021-10-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",294.0,33041.77,3314.0,341757.63,1992.0,205475.51,100.25,120.86,245792.0,1398.0,144137.92,40316.49,19.62,2021-10-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",291.0,56207.46,961.0,185977.45,783.0,146296.17,180.21,224.98,178896.9,484.0,93675.78,32600.73,22.28,2021-10-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1526.0,100850.3,5819.0,389355.3,3857.0,256240.45,63.72,79.81,311009.85,3481.0,232957.26,54769.4,21.37,2021-10-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",1700.0,118184.0,6561.0,434684.4,5941.0,399095.0,66.37,81.11,482422.13,2318.0,153574.44,83327.13,20.88,2021-10-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1691.0,110043.77,6223.0,404866.02,4652.0,302301.51,63.69,81.2,382905.57,3255.0,211750.78,80604.06,26.66,2021-10-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",150.0,12317.4,858.0,67327.02,733.0,58287.3,69.1,97.97,81638.51,267.0,20079.48,23351.21,40.06,2021-10-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",3086.0,208103.14,10757.0,727323.18,8400.0,565977.48,66.33,81.53,687581.3,5437.0,368619.39,121603.82,21.49,2021-10-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",1482.0,114031.04,5651.0,434809.66,3840.0,295388.85,75.41,93.88,364346.04,3291.0,253222.79,68957.19,23.34,2021-10-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",10827.0,667181.39,23228.0,1431306.04,21446.0,1319835.72,60.46,70.43,1490900.66,12589.0,775759.34,171064.94,12.96,2021-10-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",130.0,8185.7,5114.0,322023.09,3815.0,239635.04,61.07,79.17,306765.27,1419.0,89361.53,67130.23,28.01,2021-11-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",360.0,22656.35,5088.0,320396.03,4200.0,263996.58,61.72,80.09,338711.04,1240.0,78089.0,74714.46,28.3,2021-11-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",10.0,1205.82,2785.0,335814.83,2080.0,249249.02,116.42,140.25,300575.91,705.0,85010.31,51326.89,20.59,2021-11-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",367.0,39342.3,1858.0,208822.14,1957.0,211532.13,106.81,128.65,249975.7,195.0,21915.48,38443.57,18.17,2021-11-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",371.0,65514.91,807.0,154575.63,926.0,169228.79,176.78,225.47,210279.2,241.0,46125.28,41050.41,24.26,2021-11-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1428.0,88482.23,4106.0,271340.83,3161.0,202748.38,61.96,80.76,257013.16,2370.0,156628.56,54264.78,26.76,2021-11-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",618.0,42963.36,6480.0,429747.12,4912.0,327737.12,66.05,82.56,405877.71,2186.0,144973.36,78140.59,23.84,2021-11-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1775.0,112521.3,6506.0,423348.58,4749.0,304407.56,62.77,80.12,385724.42,3523.0,229262.73,81316.86,26.71,2021-11-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",256.0,19995.66,502.0,43900.8,545.0,44320.85,75.17,103.68,60557.64,212.0,18574.37,16236.79,36.63,2021-11-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",2170.0,135987.49,3600.0,235626.6,3397.0,212879.87,62.01,84.23,282340.84,2373.0,158734.22,69460.97,32.63,2021-11-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",3042.0,228936.36,2405.0,182866.18,4487.0,338474.92,74.27,90.36,407873.81,955.0,72633.45,69398.89,20.5,2021-11-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",7276.0,429312.0,13213.0,795822.42,16562.0,982406.63,58.19,70.3,1156106.55,3916.0,241311.75,173699.92,17.68,2021-11-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",1444.0,90935.9,4503.0,283576.43,4021.0,252781.65,61.56,79.27,321747.58,1898.0,119526.55,68965.93,27.28,2021-12-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",1482.0,93328.95,4090.0,257566.26,4411.0,277154.47,61.68,78.84,351559.84,1142.0,71917.45,74405.37,26.85,2021-12-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",769.0,92727.57,2003.0,233835.52,1145.0,137326.46,115.86,146.56,170573.85,1564.0,181519.4,33247.39,24.21,2021-12-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",213.0,23938.45,2166.0,243423.65,2091.0,234333.5,109.22,132.28,280728.29,279.0,31355.97,46394.79,19.8,2021-12-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",249.0,47707.91,417.0,80238.71,374.0,69604.49,165.04,211.97,85734.06,287.0,55441.07,16129.57,23.17,2021-12-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",2459.0,162510.39,9.0,557.68,937.0,61366.77,62.61,84.63,79471.64,1522.0,100585.94,18104.87,29.5,2021-12-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",2394.0,158767.69,4080.0,278520.0,4961.0,332113.53,66.25,81.53,404830.13,1510.0,104975.2,72716.6,21.9,2021-12-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",3584.0,233232.37,25.0,1596.52,1945.0,124976.26,63.33,83.22,160661.87,1656.0,107766.12,35685.61,28.55,2021-12-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",224.0,19517.14,413.0,35341.31,495.0,42028.52,78.23,102.53,56118.3,139.0,11414.13,14089.78,33.52,2021-12-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",2402.0,160551.57,5325.0,359079.89,4734.0,316163.72,65.79,83.99,400453.19,2987.0,201426.46,84289.47,26.66,2021-12-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",1125.0,85562.97,3703.0,284009.69,3405.0,259895.19,75.05,91.37,311727.76,1417.0,109029.68,51832.57,19.94,2021-12-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",4321.0,266268.66,23302.0,1435902.73,17559.0,1081725.7,60.88,70.55,1221261.43,10057.0,619732.45,139535.73,12.9,2021-12-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",952.0,59941.73,3595.0,226355.65,4448.0,274334.16,59.45,75.59,347665.96,2.0,125.93,73331.8,26.73,2022-01-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",1002.0,61260.28,3571.0,218324.67,4420.0,266133.7,58.67,74.33,335996.19,18.0,1100.48,69862.49,26.25,2022-01-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",2233.0,265370.36,2739.0,325483.59,4880.0,575524.48,113.77,135.69,691789.46,1.0,118.83,116264.98,20.2,2022-01-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",828.0,90096.33,4143.0,450818.55,4951.0,534484.54,105.22,126.32,640104.26,1.0,108.81,105619.72,19.76,2022-01-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",567.0,105573.7,2164.0,402930.31,2181.0,405909.46,175.51,207.23,455263.91,547.0,101849.76,49354.45,12.16,2022-01-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1689.0,116378.87,1719.0,118446.86,2944.0,202094.54,65.65,81.59,244270.02,453.0,31213.53,42175.48,20.87,2022-01-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",8628.0,597635.77,14349.0,993918.22,18291.0,1263845.48,68.52,80.43,1463516.46,4679.0,324100.27,199670.98,15.8,2022-01-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",411.0,27374.65,5345.0,356004.2,5303.0,352473.18,65.03,81.98,442224.89,435.0,28973.2,89751.71,25.46,2022-01-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",497.0,37251.16,1301.0,97512.68,1655.0,123970.62,71.35,99.4,163709.51,132.0,9893.66,39738.89,32.06,2022-01-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",2929.0,197534.7,8031.0,541618.93,9411.0,632596.38,66.13,80.16,759333.58,1534.0,103454.72,126737.2,20.03,2022-01-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",10486.0,806834.76,20.0,1538.96,10135.0,778288.39,75.94,92.72,943096.53,359.0,27622.96,164808.14,21.18,2022-01-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",7486.0,507822.62,21066.0,1427895.61,23520.0,1589759.04,66.76,78.03,1814267.85,5026.0,341078.89,224508.81,14.12,2022-01-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",1334.0,83993.98,4009.0,252422.68,4384.0,275971.22,62.33,80.04,352359.24,952.0,59941.73,76388.02,27.68,2022-02-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",2672.0,163360.7,3801.0,232385.54,5047.0,308502.32,60.58,77.06,390827.98,1002.0,61260.28,82325.66,26.69,2022-02-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",2409.0,286268.66,5469.0,649914.76,5571.0,628252.96,114.56,139.62,762076.61,2233.0,265370.36,133823.65,21.3,2022-02-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",704.0,76603.66,5535.0,602275.0,5408.0,585517.19,106.5,129.55,707289.88,828.0,90096.33,121772.69,20.8,2022-02-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",1554.0,289350.14,710.0,132199.87,1694.0,314859.13,178.31,208.95,356729.12,567.0,105573.7,41869.99,13.3,2022-02-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1254.0,86406.28,3222.0,222009.26,2783.0,190657.73,66.43,83.36,234755.8,1689.0,116378.87,44098.07,23.13,2022-02-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",3060.0,211989.54,26572.0,1840563.23,21000.0,1449928.96,68.57,80.64,1716039.04,8628.0,597635.77,266110.08,18.35,2022-02-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",2314.0,154123.97,2636.0,175570.96,4534.0,301720.47,65.72,83.51,380913.66,411.0,27374.65,79193.19,26.25,2022-02-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",618.0,46320.35,1761.0,131990.61,1881.0,140909.62,72.08,102.4,189490.4,497.0,37251.16,48580.78,34.48,2022-02-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",524.0,35339.07,9500.0,640689.5,7095.0,478493.87,66.75,81.14,574603.52,2929.0,197534.7,96109.65,20.09,2022-02-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",3130.0,240813.35,26911.0,2070640.63,19516.0,1499309.3,75.28,93.66,1860091.09,10486.0,806834.76,360781.79,24.06,2022-02-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",5708.0,387306.22,19023.0,1289418.55,17237.0,1166799.35,67.13,79.17,1348993.2,7486.0,507822.62,182193.85,15.61,2022-02-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",4.0,251.94,5242.0,330057.6,3894.0,243040.71,60.66,78.49,312020.3,1334.0,83993.98,68979.59,28.38,2022-03-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",870.0,53324.04,6320.0,386392.78,4517.0,275805.25,60.31,77.53,353491.56,2672.0,163360.7,77686.31,28.17,2022-03-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",195.0,23331.16,7116.0,845616.5,4899.0,581845.49,116.6,140.04,703896.81,2409.0,286268.66,122051.32,20.98,2022-03-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",150.0,16352.69,4911.0,534376.32,4354.0,473471.29,107.23,128.69,566322.43,704.0,76603.66,92851.14,19.61,2022-03-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",785.0,146164.64,2261.0,420991.42,1490.0,277433.52,175.56,207.6,312910.32,1554.0,289350.14,35476.8,12.79,2022-03-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",2314.0,159672.96,1621.0,111694.15,2680.0,184133.13,67.18,85.0,226638.76,1254.0,86406.28,42505.63,23.08,2022-03-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",22.0,1530.61,20928.0,1449652.38,17888.0,1237945.98,68.77,80.75,1461024.2,3060.0,211989.54,223078.22,18.02,2022-03-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",3149.0,209877.66,2622.0,174638.49,3452.0,229792.33,65.32,83.08,290677.56,2314.0,154123.97,60885.23,26.5,2022-03-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",597.0,44746.36,1604.0,120223.53,1579.0,118048.88,71.01,99.72,158220.62,618.0,46320.35,40171.74,34.03,2022-03-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",2538.0,171165.22,4608.0,310768.23,6609.0,445178.02,66.36,80.53,535900.52,524.0,35339.07,90722.5,20.38,2022-03-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",3122.0,240448.63,13229.0,1017866.32,13209.0,1014344.06,75.59,92.73,1245678.68,3130.0,240813.35,231334.62,22.81,2022-03-01
"Мясной продукт из свинины сырокопченый категории Б. Бекон ""Деревенский"", нарезка, в/у,0,1/10/Иней",4016.0,272619.08,17521.0,1187609.23,15813.0,1070413.35,67.15,79.9,1242362.23,5708.0,387306.22,171948.88,16.06,2022-03-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Салями ""Финская"", нарезка, в/у, 0,15/8/Иней",2227.0,140269.83,1607.0,101218.51,3704.0,232103.42,61.88,80.29,299169.27,4.0,251.94,67065.85,28.89,2022-04-01
"Мясное изделие колбасное варено-копченое категории Б. Колбаса Сервелат ""Иней"", нарезка, в/у, 0,15/8/Иней",2241.0,137355.37,4207.0,257855.44,5525.0,338209.26,60.42,76.99,428088.88,870.0,53324.04,89879.62,26.58,2022-04-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Краковская"", 0,3/7/Иней",309.0,36970.94,3976.0,475716.48,4090.0,489356.26,117.94,140.98,585912.26,195.0,23331.16,96556.0,19.73,2022-04-01
"Мясное изделие колбасное полукопченое категории Б. Колбаса ""Чардаш"", 0,3/6Иней",1324.0,144330.43,2509.0,273506.09,3615.0,393962.14,107.5,129.06,471091.79,150.0,16352.69,77129.65,19.58,2022-04-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Домашняя из свинины"", мод/атм 0,3/7/Иней",1388.0,258441.45,1813.0,337575.17,2416.0,449851.98,178.65,204.9,499533.91,785.0,146164.64,49681.93,11.04,2022-04-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Сальчичон""/Колбаса полусухая ""Тоскана"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",2199.0,151737.58,2833.0,195485.5,2711.0,186584.08,66.31,83.33,229472.65,2314.0,159672.96,42888.57,22.99,2022-04-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Северная Салями"",нарезка,  в/у, 0,1/8/Иней",5512.0,383497.4,8521.0,592848.54,14007.0,973145.57,68.52,81.47,1160256.74,22.0,1530.61,187111.17,19.23,2022-04-01
"Мясное изделие колбасное сырокопченое. Колбаса полусухая ""Чоризо""/Колбаса полусухая ""Милано"", нарезка, мод/атм, 0,1 (2*0,05) 14/Иней",1981.0,132031.65,5432.0,362037.36,4256.0,283658.16,65.79,83.2,345746.38,3149.0,209877.66,62088.22,21.89,2022-04-01
"Мясной продукт из свинины сырокопченый категории А. ""Балык"", нарезка, в/у,0,1/10/Иней",773.0,58039.96,1002.0,75150.36,1176.0,87874.79,69.5,97.71,117408.35,597.0,44746.36,29533.56,33.61,2022-04-01
"Мясной продукт из свинины сырокопченый категории Б. ""Бекон"", нарезка, в/у,0,1/10/Иней",3416.0,230378.48,6000.0,404646.0,6877.0,463724.38,66.75,80.82,557289.16,2538.0,171165.22,93564.78,20.18,2022-04-01
"Мясной продукт из свинины сырокопченый категории Б. ""Шейка"", нарезка, в/у,0,1/10/Иней",2943.0,226658.08,10906.0,839941.16,10693.0,810819.75,75.64,90.58,974625.96,3122.0,240448.63,163806.21,20.2,2022-04-01
